District,Year,Yield,Rainfall,Temperature,Humidity,Sunlight,Soil_Moisture,Soil_Type,Pest_Risk,PFJ_Policy,Yield_Lag1,Growing_Degree_Days,Water_Availability,Climate_Stress,Moisture_Temp_Ratio,Rainfall_per_Sun,Years_Since_PFJ,Yield_Change,Yield_Growth_Rate,Rainfall_Temp_Ratio,Moisture_Heat_Index,Water_Availability_Index,Drought_Indicator,Heat_Stress_Indicator,Rainfall_Anomaly,Temperature_Anomaly
Atwima Kwanwoma,2018,2.25,0.7827596116083462,-1.1301837862068678,0.572739504586793,-0.730562600755303,0.05651348050964622,Forest Ochrosol,-0.49470617805705996,0.9832189445227664,0.14975832831569885,-0.8894928833071705,0.5845169460490192,-0.7784998692690537,0.30119913694740413,1.0305186108130364,-0.006248934931401874,0.36898540055125784,0.07953476197346569,1.0222311832080917,-0.2951049508598846,0.7826589408444024,-0.9112537960557195,-1.0040371581205207,1.3558199161778446,-1.071882002096206
Asante Akim South,2015,1.37,-0.9573637875105234,-0.8361058423823304,0.6069001758788782,-0.8345537035009646,0.07764058037732308,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-1.414667684004341,-0.852792523703508,-0.706203853727876,-0.6984391065138676,0.24362665930870495,-0.7072532249037705,-0.7112424121922832,0.2378727643067026,0.20132266500216692,-0.8151124716640344,-0.16912849963402857,-0.9571510660653884,1.0973891185182554,0.9959790749895374,-1.082829761282947,-0.010484492930096602
Birim South,2015,2.93,-0.4893925542368474,-1.0386544932883284,1.064709728595631,-1.353091872567932,0.7653641071044942,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,1.0995884072242939,-1.245536836964414,-0.03890082844259287,-1.002004084133958,0.9006632829049989,-0.050099060920355175,-0.7112424121922832,0.9262141045906213,0.22467491767140624,-0.3023557020433817,0.5370617338736278,-0.4888407998641896,1.0973891185182554,-1.0040371581205207,-0.7890134119740834,-0.31436594122040107
Akyemansa,2017,2.04,1.0985517178314208,-1.0149703635843366,1.1886156866530841,-0.9395421969342433,1.461829882052773,Forest Ochrosol,2.021401883290528,0.9832189445227664,0.9505954536700052,-0.9798309099101847,1.6957755657431952,-1.0558625114907754,1.5057615957893717,1.4448705485259732,-0.7112424121922832,-1.7288167793616354,-0.7928392954247186,1.317654137715646,1.3333089104500528,1.0992544388111651,-0.9112537960557195,-1.0040371581205207,1.3571485379169386,-0.4585947006408044
Atebubu Amantin,2016,1.91,-0.6634865645210337,0.6360108445312928,-0.4895103233497973,0.00934380671573141,-0.947388023547603,Forest Ochrosol,2.021401883290528,-1.0170674655637142,0.09388597073283982,0.21663145279140772,-0.9401117193597258,0.46558877373364677,-0.95665058090705,-0.6593269408184621,-0.7112424121922832,-0.6471375303440489,-0.4012699549905039,-0.7618395246343272,-0.8963509516186491,-0.6639503560157939,1.0973891185182554,0.9959790749895374,-0.3667008676792491,1.214679623629708
Pusiga,2017,2.04,1.037775349112195,1.6049631300773353,-1.525992598570039,1.892364930688309,-0.8045979692695022,Savanna Ochrosol,2.021401883290528,0.9832189445227664,-1.3587953264214823,1.874804735612529,0.24387029259783913,1.5842886615960685,-1.0268257415939277,0.32564311649349564,-0.7112424121922832,2.335674944219596,1.82835373405796,0.6650866853229294,-0.42753344873519916,1.037104945188395,-0.9112537960557195,0.9959790749895374,0.47283744693125485,0.2452131744025716
Lambussie Karni,2018,2.25,0.6011110918864965,1.6314844211521171,-2.08273236026712,1.7230184907804336,-1.5826580609481238,Savanna Ochrosol,-0.49470617805705996,0.9832189445227664,0.14975832831569885,1.7685042958655381,-0.4889359482532604,2.062140108286093,-1.6493425774402637,0.0007977689961814804,-0.006248934931401874,0.36898540055125784,0.07953476197346569,0.25609297854041996,-1.3965379756639633,0.6000410996538718,-0.9112537960557195,-1.0040371581205207,0.37015843276530624,-0.8352729167138956
Ketu North,2021,2.53,-1.0301865361438618,0.4135403866086542,0.4850415958028355,0.6641570402590972,1.6745579220997369,Tropical Black Earth,-0.49470617805705996,0.9832189445227664,1.1554607648071529,0.5679249269851881,-0.11328293075937745,-0.21201581763676242,1.2652298181259962,-1.1756040709219278,2.108731496851242,-0.4832467350383554,-0.30564231339098397,-1.0812290003643485,2.1784364927141304,-1.028986345233577,1.0973891185182554,0.9959790749895374,-0.2174049927938327,1.029969035264643
East Gonja,2017,2.04,0.5002481820971436,0.9689455636514399,-0.31650122818011106,0.1932311529641219,-0.3186746723129111,Savanna Ochrosol,2.021401883290528,0.9832189445227664,-0.1854758171814524,0.4627976697592431,0.1627636346113982,0.470938917608504,-0.5098656979852803,0.3990707551690206,-0.7112424121922832,0.27065092336784097,0.06010139626412243,0.28867144217266416,-0.027011023710117328,0.4999672502939666,-0.9112537960557195,-1.0040371581205207,0.5145403610715753,-0.13838817884341953
Nkwanta South,2013,1.19,-0.23410458215866845,-1.3419223728573821,0.3526633388057246,0.0809984534839449,0.40984601277943083,Tropical Black Earth,-0.49470617805705996,-1.0170674655637142,-1.3960435648100549,-0.46383838458340604,-0.002833953642782432,-0.7316838971125459,0.6715992790151085,-0.2669357432270272,-0.7112424121922832,-0.3849122578549379,-0.2966414447419329,0.01954486256538162,0.02542222459254362,-0.233813950818098,1.0973891185182554,-1.0040371581205207,-2.1038646883536822,-0.7816635519930961
